_id,title,price,description,url
,Калевала. Графический роман : Сами Макконен,2857.0,,https://www.labirint.ru/books/1021831/
,Закрыто на лето : Майя Челия,463.0,,https://www.labirint.ru/books/1022051/
,Фабрика Зозо : Таньцай Лу,919.0,,https://www.labirint.ru/books/944375/
,Необъятный океан. Том 6 : Иноуэ Кэндзи,771.0,,https://www.labirint.ru/books/962380/
,Аниме Взрыв. Что? Почему? Вот это да! Феномен японской анимации : Патрик Дрейзен,819.0,,https://www.labirint.ru/books/961282/
,Токийский гуль. Книга 2 : Суи Исида,982.0,,https://www.labirint.ru/books/913106/
,Утренняя выпечка для Момо-тян. Том 2 : Сая Усато,404.0,,https://www.labirint.ru/books/946087/
,Рассказы о Сирахимэ : CLAMP,681.0,,https://www.labirint.ru/books/952181/
,Отражения смерти : Хидеши Хино,681.0,,https://www.labirint.ru/books/952180/
,Счастливый Попоти. Том 2 : Сая Усато,479.0,,https://www.labirint.ru/books/960381/
,Счастливый Попоти. Том 1 : Сая Усато,479.0,,https://www.labirint.ru/books/960380/
,Старшеклассницы в свое свободное время. Том 1 : Коёри Мимото,404.0,,https://www.labirint.ru/books/960379/
,Исповедь неполноценного человека. Том 1 : Усамару Фуруя,404.0,,https://www.labirint.ru/books/960376/
,"13 карт. Фанфики. Подданные Земли Королей : Поляков, Бусалов, Шульц",1038.0,,https://www.labirint.ru/books/960781/
,Токийские мстители. Том 10 : Кэн Вакуи,929.0,,https://www.labirint.ru/books/961815/
,Токийские мстители. Том 9 : Кэн Вакуи,929.0,,https://www.labirint.ru/books/961814/
,Истории Монстров. Том 9 : Исин Нисио,539.0,,https://www.labirint.ru/books/961827/
,Истории Монстров. Том 4 : Исин Нисио,539.0,,https://www.labirint.ru/books/961826/
,Истории Монстров. Том 3 : Исин Нисио,539.0,,https://www.labirint.ru/books/961825/
,Истории Монстров. Том 1 : Исин Нисио,539.0,,https://www.labirint.ru/books/961823/
,"Очень приятно, бог. Том 19 : Джульетта Судзуки",539.0,,https://www.labirint.ru/books/961819/
,Ложные выводы. Том 6 : Кё Сиродайра,771.0,,https://www.labirint.ru/books/964253/
,Стикеры для фанатов K-Pop,70.0,,https://www.labirint.ru/games/965801/
,Токийские мстители. Том 11 : Кэн Вакуи,929.0,,https://www.labirint.ru/books/961816/
,Роза ветров. Том 1 : Сфера Ференц,1239.0,,https://www.labirint.ru/books/954905/
,Арт-блокнот «Дневник Кая» : Алекс Анжело,639.0,,https://www.labirint.ru/office/957918/
,Блокнот SlovoDna. Душнила : Кирилл Караваев,639.0,,https://www.labirint.ru/office/963161/
,Якари и гризли : Жоб,707.0,,https://www.labirint.ru/books/967303/
,Рыцари «Сидонии». Том 11 : Нихэй Цутому,477.0,,https://www.labirint.ru/books/961830/
,Истории Монстров. Том 10 : Исин Нисио,539.0,,https://www.labirint.ru/books/961828/
,Moscow Calling. Том 1. Поезд по России : Кирилл Волошин,462.0,,https://www.labirint.ru/books/971694/
,"Хроники Сиалы. Харьганова пустошь : Пехов, Писоцкий",588.0,,https://www.labirint.ru/books/971693/
,Стикерпак Драконы - не коты,216.0,,https://www.labirint.ru/books/971647/
,Стикерпак Живые книги,194.0,,https://www.labirint.ru/books/971645/
,"Шина — королева джунглей : Айснер, Айгер",238.0,,https://www.labirint.ru/books/971699/
,Миротворец. В огненном мире : Джо Гилл,238.0,,https://www.labirint.ru/books/971698/
,Миротворец. Мир будущего : Джо Гилл,238.0,,https://www.labirint.ru/books/971697/
,"Мета-Чувак : Косых, Гордеев, Утилев",420.0,,https://www.labirint.ru/books/971696/
,Таффи - Черепашка,238.0,,https://www.labirint.ru/books/971701/
,Кастака. Оружие Метабарона : Алехандро Ходоровски,1642.0,,https://www.labirint.ru/books/961336/
,Черные и белые. Победы и поражения Бобби Фишера : Хулиан Волох,958.0,,https://www.labirint.ru/books/975842/
,"Реквием. Рыцарь вампир. Воскрешение. Пляска Смерти : Миллс, Ледруа",1401.0,,https://www.labirint.ru/books/551463/
,Dark Souls. Иллюстрации,1866.0,,https://www.labirint.ru/books/805654/
,Основатель Тёмного Пути. Маньхуа. Том 6 : Мосян Тунсю,1192.0,,https://www.labirint.ru/books/964255/
,Математика. Запоминаем таблицу умножения : Наталья Анашина,189.0,,https://www.labirint.ru/books/983990/
,Наномашина. Том 1 : Джунволья Хан,676.0,,https://www.labirint.ru/books/958463/
,"Вьюн, Космея и проклятие ведьмы : Анастасия Сарнацкая",560.0,,https://www.labirint.ru/books/971706/
,Конан-варвар. Жизнь и смерть Конана : Джейсон Аарон,1330.0,,https://www.labirint.ru/books/971704/
,Конан-варвар. Жизнь и смерть Конана : Джейсон Аарон,840.0,,https://www.labirint.ru/books/971703/
,Снежный человек : Аскольд Акишин,490.0,,https://www.labirint.ru/books/971695/
,Каратель. Том 5. Работорговцы : Гарт Эннис,280.0,,https://www.labirint.ru/books/985029/
,"Каратель. Том 4. Верх — это низ, а чёрное — это белое : Гарт Эннис",280.0,,https://www.labirint.ru/books/985028/
,Каратель. Том 1. В начале : Гарт Эннис,350.0,,https://www.labirint.ru/books/985027/
,Призрачный берег : Юлия Никитина,560.0,,https://www.labirint.ru/books/985026/
,Верта и карандаши : Лаура Беллини,505.0,,https://www.labirint.ru/books/1022037/
,Верта и яйцо : Лаура Беллини,505.0,,https://www.labirint.ru/books/1022036/
,Верта и колода карт : Лаура Беллини,505.0,,https://www.labirint.ru/books/1022035/
,"Голод : Гамсун, Эрнстсен",1571.0,,https://www.labirint.ru/books/1022030/
,Психиатрические комиксы. Истории про людей : Ольга Задорожная,391.0,,https://www.labirint.ru/books/1021919/
,"Козлы. Житейский этюд в 42 кадрах, с эпилогом : Илья Викторов",769.0,,https://www.labirint.ru/books/1022053/
,Семь смертных грехов. Том 12 : Судзуки Накаба,687.0,,https://www.labirint.ru/books/1022936/
,Король шаманов. Том 12 : Хироюки Такэи,851.0,,https://www.labirint.ru/books/1022935/
,Бездомный бог. Том 25 : Адатитока,539.0,,https://www.labirint.ru/books/1022932/
,Бездомный бог. Том 24 : Адатитока,539.0,,https://www.labirint.ru/books/1022931/
,Высший класс : Джерри Крафт,1072.0,,https://www.labirint.ru/books/1023502/
